node_id,x,y
184623674,-84.3308059,42.387243
184623677,-84.3295229,42.387268
184623695,-84.3396649,42.387424
184623703,-84.415816,42.2187712
184623707,-84.4149715,42.2184414
184623716,-84.2477381,42.089775
184623719,-84.2486856,42.0896643
184623727,-84.2577779,42.093889
184623742,-84.2552279,42.094124
184623853,-84.2523329,42.0921
184623864,-84.2486529,42.090578
184623886,-84.2571109,42.205866
184623912,-84.2551099,42.206825
184623914,-84.3965609,42.241403
184623925,-84.7124539,42.254819
184623938,-84.3930659,42.248739
184623941,-84.3904289,42.249264
184623944,-84.3880519,42.249747
184623959,-84.3843649,42.2502615
184623960,-84.3819529,42.250237
184623964,-84.3795429,42.250249
184623970,-84.4493169,42.193962
184623973,-84.4511509,42.194221
184623974,-84.4543769,42.194374
184623987,-84.4589229,42.192733
184624016,-84.4668849,42.189174
184624021,-84.4705899,42.189165
184624024,-84.4721919,42.189165
184624032,-84.4762649,42.189188
184624053,-84.5010029,42.189341
184624056,-84.5031349,42.189346
184624059,-84.5095589,42.189316
184624061,-84.5123329,42.189311
184624064,-84.5205519,42.189299
184624083,-84.4247337,42.298967
184624092,-84.4246931,42.3020428
184624100,-84.2412759,42.174554
184624105,-84.2412489,42.173579
184624115,-84.2120759,42.249658
184624117,-84.2122689,42.249941
184624120,-84.2128029,42.250803
184624124,-84.2129569,42.251051
184624127,-84.4700079,42.324536
184624132,-84.4670579,42.323882
184624135,-84.4676999,42.323258
184624148,-84.4507699,42.245627
184624150,-84.4507899,42.243787
184624159,-84.7098739,42.254354
184624192,-84.7117559,42.254139
184624215,-84.7140339,42.254506
184624225,-84.3866749,42.172943
184624234,-84.3855569,42.173452
184624238,-84.3838329,42.173454
184624249,-84.3407429,42.38907
184624259,-84.5268066,42.2005858
184624268,-84.4198149,42.292883
184624280,-84.4203839,42.293784
184624283,-84.3997012,42.1951099
184624292,-84.2021579,42.089587
184624295,-84.2024079,42.089239
184624297,-84.2024049,42.089056
184624302,-84.2024019,42.088899
184624305,-84.2023889,42.088373
184624311,-84.3387959,42.302751
184624324,-84.3338084,42.302877
184624346,-84.3330892,42.3035851
184624402,-84.3585285,42.3043212
184624413,-84.3626699,42.30393
184624418,-84.3630899,42.303492
184624463,-84.3665859,42.301846
184624467,-84.3668969,42.302421
184624497,-84.3634639,42.303929
184624509,-84.5422118,42.2690232
184624523,-84.539078,42.2683867
184624543,-84.5351776,42.269013
184624569,-84.3932349,42.111828
184624614,-84.3932329,42.113633
184624650,-84.3481519,42.197171
184624662,-84.3479339,42.197188
184624674,-84.3477459,42.196911
184624722,-84.3649379,42.196975
184624754,-84.6146859,42.265512
184624761,-84.6134189,42.265507
